dataset,arm,rho,seed,n_expected,removed,cov_corrupt,cov_repair,cov_single,edge_precision,single_fn,single_fp
synthetic,E-SO,0.0,0,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,1,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,2,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,3,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,4,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,5,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,6,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,7,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,8,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,9,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,10,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,11,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,12,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,13,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,14,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,15,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,16,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,17,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,18,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.0,19,20,0,1.0,1.0,1.0,,0,0
synthetic,E-SO,0.1,0,20,1,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.1,1,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,2,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,3,20,1,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.1,4,20,1,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.1,5,20,1,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.1,6,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,7,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,8,20,1,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.1,9,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,10,20,1,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.1,11,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,12,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,13,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,14,20,1,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.1,15,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.1,16,20,1,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.1,17,20,1,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.1,18,20,1,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.1,19,20,1,0.95,1.0,0.95,1.0,0,0
synthetic,E-SO,0.2,0,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,1,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,2,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,3,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,4,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,5,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,6,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,7,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.2,8,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,9,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,10,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.2,11,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,12,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,13,20,2,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.2,14,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,15,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.2,16,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,17,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.2,18,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.2,19,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,0,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.3,1,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.3,2,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,3,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.3,4,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,5,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.3,6,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,7,20,2,0.7,1.0,0.7,1.0,0,0
synthetic,E-SO,0.3,8,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,9,20,2,0.7,1.0,0.7,1.0,0,0
synthetic,E-SO,0.3,10,20,2,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.3,11,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.3,12,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.3,13,20,2,0.75,1.0,0.75,1.0,0,0
synthetic,E-SO,0.3,14,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.3,15,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.3,16,20,2,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.3,17,20,2,0.8,1.0,0.8,1.0,0,0
synthetic,E-SO,0.3,18,20,2,0.9,1.0,0.9,1.0,0,0
synthetic,E-SO,0.3,19,20,2,0.85,1.0,0.85,1.0,0,0
synthetic,E-SO,0.5,0,20,4,0.6,1.0,0.6,1.0,0,0
